,,,,,,0 K,298.15 K (25 °C) and 0.1 Mpa (1 bar),,,,,
Formula,Solvent,Name,"State
Description",State,"Molar Mass
g mol-1","ΔfH0°
kJ mol-1",ΔfH°,"ΔfG°
kJ mol-1",H°-H0°,"       S°              
J mol-1 K-1","Cp
J mol-1 K-1",
Table 1:O,,,,,,,,,,,,
Oxygen (Prepared 1963),,,,,,,,,,,,
O,,,,g,15.9994,246.785,249.170,231.731,6.724,161.055,21.912,
O<sup>+</sup>,,,,g,15.9994,1560.716,1568.770,-,6.197,-,-,
O<sup>2+</sup>,,,,g,15.9994,4949.00,4964.94,-,7.883,-,-,
O<sup>3+</sup>,,,,g,15.9994,10249.46,10271.01,-,7.293,-,-,
O<sup>4+</sup>,,,,g,15.9994,17718.70,17745.35,-,6.197,-,-,
O<sup>5+</sup>,,,,g,15.9994,28708.18,28741.03,-,6.197,-,-,
O<sup>6+</sup>,,,,g,15.9994,42034.6,42073.5,-,6.197,-,-,
O<sup>7+</sup>,,,,g,15.9994,113365.,113412.,-,6.197,-,-,
O<sup>8+</sup>,,,,g,15.9994,197443.,197493.,-,6.197,-,-,
O<sup>-</sup>,,,,g,15.9994,105.44,101.63,-,-,-,-,
O2,,,,g,31.9988,0,0,0,8.680,205.138,29.355,
O2,,,,ao,31.9988,-,-11.7,16.4,-,110.9,-,
O2<sup>+</sup>,,,,g,31.9988,1164.70,1171.52,-,9.309,-,-,
O3,,,,g,47.9982,145.35,142.7,163.2,10.350,238.93,39.20,
O3,,,,ao,47.9982,-,125.9,174.1,-,146.,-,
Table 2:H,,,,,,,,,,,,
Hydrogen (Prepared 1963),,,,,,,,,,,,
H,,,,g,1.0080,216.003,217.965,203.247,6.197,114.713,20.784,
H<sup>+</sup>,,,,g,1.0080,1528.043,1536.202,-,6.197,-,-,
H<sup>-</sup>,,,,g,1.0080,143.22,138.99,-,6.197,-,-,
H<sup>+</sup>,,,,ao,1.0080,-,0,0,-,0,0,
D,,,,g,2.0141,219.760,221.673,206.506,6.197,123.349,20.786,
H2,,,,g,2.016,0,0,0,8.468,130.684,28.824,
H2,,,,ao,2.016,-,-4.2,17.6,-,577,-,
H2<sup>+</sup>,,,,g,2.016,1488.42,1494.65,-,-,-,-,
D2,,,,g,4.0282,0,0,0,8.560,144.960,29.196,
HD,,,,g,3.0221,0.331,0.318,-1.464,8.505,143.801,29.196,
OH,,,,g,17.0074,38.70,38.95,34.23,8.816,183.745,29.886,
OH<sup>+</sup>,,,,g,17.0074,1283.2,1289.5,-,8.602,-,-,
OH<sup>-</sup>,,,,g,17.0074,-137.7,-143.5,-,8.606,-,-,
OH<sup>-</sup>,,,,ao,17.0074,-,-229.994,-157.244,-,-10.75,-148.5,
OD,,,,g,18.0135,36.48,36.86,32.47,8.999,189.733,29.874,
HO2,,,,g,33.0068,13.4,10.5,22.6,10.00,229.0,34.89,
HO2<sup>+</sup>,,,,g,33.0068,1138,1134.,-,-,-,-,
HO2<sup>-</sup>,,,,ao,33.0068,-,-160.33,-67.3,-,23.8,-,
H2O,,,,cr,18.0154,-286.315,-,-,-,-,-,
H2O,,,,l,18.0154,-,-285.830,-237.129,13.293,69.91,75.291,
H2O,,,,g,18.0154,-238.915,-241.818,-228.572,9.902,188.825,33.577,
H2O<sup>+</sup>,,,,g,18.0154,978.26,981.57,-,-,-,-,
D2O,,,,l,20.0276,-,-294.600,-243.439,-,75.94,84.35,
D2O,,,,g,20.0276,-246.249,-249.199,-234.535,9.958,198.339,34.27,
HDO,,,,l,19.0215,-,-289.888,-241.857,-,79.29,-,
HDO,,,,g,19.0215,-242.367,-245.300,-233.112,9.925,199.511,33.81,
H2O2,,,,l,34.0148,-,-187.78,-120.35,-,109.6,89.1,
H2O2,,,,g,34.0148,-130.04,-136.31,-105.57,10.853,232.7,43.1,
H2O2,,,,ao,34.0148,-,-191.17,-134.03,-,143.9,-,
H2O2,in 0.1 H2O,,,,34.0148,-,-188.134,-,-,-,-,
H2O2,in 0.5 H2O,,,,34.0148,-,-189.108,-,-,-,-,
H2O2,in 1.0 H2O,,,,34.0148,-,-189.807,-,-,-,-,
H2O2,in 2.0 H2O,,,,34.0148,-,-190.456,-,-,-,-,
H2O2,in 3.0 H2O,,,,34.0148,-,-190.728,-,-,-,-,
H2O2,in 4.0 H2O,,,,34.0148,-,-190.874,-,-,-,-,
H2O2,in 5.0 H2O,,,,34.0148,-,-190.949,-,-,-,-,
H2O2,in 10 H2O,,,,34.0148,-,-191.083,-,-,-,-,
H2O2,in 15 H2O,,,,34.0148,-,-191.129,-,-,-,-,
H2O2,in 20 H2O,,,,34.0148,-,-191.146,-,-,-,-,
H2O2,in 50 H2O,,,,34.0148,-,-191.154,-,-,-,-,
H2O2,in ∞ H2O,,,,34.0148,-,-191.17,-,-,-,-,
H2O2<sup>+</sup>,,,,g,34.0148,887.0,887.0,-,-,-,-,
Table 3:He,,,,,,,,,,,,
Helium (Prepared 1963),,,,,,,,,,,,
He,,,,g,4.0026,0,0,0,6.197,126.150,20.786,
He,,,,ao,4.0026,-,-1.7,19.7,-,54.4,-,
He<sup>+</sup>,,,,g,4.0026,2372.303,2378.499,-,6.197,-,-,
Table 4:Ne,,,,,,,,,,,,
Neon (Prepared 1964),,,,,,,,,,,,
Ne,,,,g,20.1830,0,0,0,6.197,146.328,20.786,
Ne,,,,ao,20.1830,-,-4.6,19.3,-,66.1,-,
Ne<sup>+</sup>,,,,g,20.1830,2080.645,2086.950,-,6.305,-,-,
Ne<sup>2+</sup>,,,,g,20.1830,6032.99,6045.50,-,6.335,-,-,
Ne<sup>3+</sup>,,,,g,20.1830,12155.4,12174.2,-,6.197,-,-,
Ne<sup>4+</sup>,,,,g,20.1830,21527.,21556.,-,7.820,-,-,
Ne<sup>5+</sup>,,,,g,20.1830,33706.,33740.,-,6.197,-,-,
Table 5:Ar,,,,,,,,,,,,
Argon (Prepared 1964),,,,,,,,,,,,
Ar,,,,g,39.948,0,0,0,6.197,154.843,20.786,
Ar,,,,ao,39.948,-,-12.1,16.4,-,59.4,-,
Ar<sup>+</sup>,,,,g,39.948,1520.558,1526.762,-,6.205,-,-,
Ar<sup>2+</sup>,,,,g,39.948,4186.38,4198.81,-,6.238,-,-,
Ar<sup>3+</sup>,,,,g,39.948,8117.4,8135.8,-,6.197,-,-,
Ar<sup>4+</sup>,,,,g,39.948,13888.0,13913.1,-,6.832,-,-,
Ar<sup>5+</sup>,,,,g,39.948,21125.,21158.,-,6.197,-,-,
Ar<sup>6+</sup>,,,,g,39.948,29907.,29945.,-,6.197,-,-,
Ar<sup>7+</sup>,,,,g,39.948,41903.,41949.,-,6.197,-,-,
Table 6:Kr,,,,,,,,,,,,
Krypton (Prepared 1964),,,,,,,,,,,,
Kr,,,,g,83.8000,0,0,0,6.197,164.082,20.786,
Kr,,,,ao,83.8000,-,-15.5,15.1,-,61.5,-,
Kr<sup>+</sup>,,,,g,83.8000,1350.746,1356.942,-,6.197,-,-,
Kr<sup>2+</sup>,,,,g,83.8000,3701.12,3713.51,-,6.197,-,-,
Kr<sup>3+</sup>,,,,g,83.8000,7266.4,7284.8,-,6.197,-,-,
Table 7:Xe,,,,,,,,,,,,
Xenon (Prepared 1964),,,,,,,,,,,,
Xe,,,,g,131.3000,0,0,0,6.197,169.683,20.786,
Xe,,,,ao,131.3000,-,-17.6,13.4,-,65.7,-,
Xe<sup>+</sup>,,,,g,131.3000,1170.344,1176.541,-,6.197,-,-,
Xe<sup>2+</sup>,,,,g,131.3000,3216.7,3229.2,-,6.197,-,-,
Xe<sup>3+</sup>,,,,g,131.3000,6316.2,6335.0,-,6.197,-,-,
Table 8:Rn,,,,,,,,,,,,
Radon (Prepared 1964),,,,,,,,,,,,
Rn,,,,g,222.0000,0,0,0,6.197,176.21,20.786,
Rn<sup>+</sup>,,,,g,222.0000,1037.063,1043.259,-,6.197,-,-,
Table 9:F,,,,,,,,,,,,
Fluorine (Prepared 1963),,,,,,,,,,,,
F,,,,g,18.9984,76.90,78.99,61.91,6.519,158.754,22.744,
F<sup>+</sup>,,,,g,18.9984,1757.95,1766.44,-,6.711,-,-,
F<sup>2+</sup>,,,,g,18.9984,5132.09,5146.24,-,6.197,-,-,
F<sup>3+</sup>,,,,g,18.9984,11182.6,11204.8,-,8.222,-,-,
F<sup>4+</sup>,,,,g,18.9984,19590.3,19617.5,-,6.661,-,-,
F<sup>5+</sup>,,,,g,18.9984,30613.1,30645.7,-,6.197,-,-,
F<sup>6+</sup>,,,,g,18.9984,45777.1,45816.1,-,6.197,-,-,
F<sup>7+</sup>,,,,g,18.9984,63644.9,63690.1,-,6.197,-,-,
F<sup>8+</sup>,,,,g,18.9984,155682.,155737.,-,-,-,-,
F<sup>-</sup>,,,,g,18.9984,-250.96,-255.39,-,6.197,-,-,
F<sup>-</sup>,,,,ao,18.9984,-,-332.63,-278.79,-,-13.8,-106.7,
F2,,,,g,37.9968,0,0,0,8.820,202.78,31.30,
F2<sup>+</sup>,,,,g,37.9968,1513.48,1519.67,-,-,-,-,
FO,,,,g,34.9978,108.78,109.,105.,8.79,216.8,30.5,
F2O,,,,g,53.9962,26.78,24.7,41.9,10.895,247.43,43.30,
F2O<sup>+</sup>,,,,g,53.9962,1293.7,1297.9,-,-,-,-,
F2O2,,,,g,69.9956,-,18.0,-,-,-,-,
F2O3,,,,g,85.9950,-,15.9,-,-,-,-,
HF,,,x denotes undetermined zero point entropy,l,20.0064,-,-299.78,-,-,75.40+x,-,
HF,,,,g,20.0064,-271.077,-271.1,-273.2,8.598,173.779,29.133,
HF,,,,ai,20.0064,-,-332.63,-278.79,-,-13.8,-106.7,
HF,,,,ao,20.0064,-,-320.08,-296.82,-,88.7,-,
HF,in 2.0 H2O,,,,20.0064,-,-317.11,-,-,-,-,
HF,in 3.0 H2O,,,,20.0064,-,-317.90,-,-,-,-,
HF,in 4.0 H2O,,,,20.0064,-,-318.40,-,-,-,-,
HF,in 5.0 H2O,,,,20.0064,-,-318.674,-,-,-,-,
HF,in 10 H2O,,,,20.0064,-,-318.967,-,-,-,-,
HF,in 15 H2O,,,,20.0064,-,-319.126,-,-,-,-,
HF,in 25 H2O,,,,20.0064,-,-319.206,-,-,-,-,
HF,in 30 H2O,,,,20.0064,-,-319.239,-,-,-,-,
HF,in 40 H2O,,,,20.0064,-,-319.273,-,-,-,-,
HF,in 50 H2O,,,,20.0064,-,-319.306,-,-,-,-,
HF,in 75 H2O,,,,20.0064,-,-319.377,-,-,-,-,
HF,in 100 H2O,,,,20.0064,-,-319.407,-,-,-,-,
HF,in 200 H2O,,,,20.0064,-,-319.482,-,-,-,-,
HF,in 300 H2O,,,,20.0064,-,-319.549,-,-,-,-,
HF,in 400 H2O,,,,20.0064,-,-319.670,-,-,-,-,
HF,in 500 H2O,,,,20.0064,-,-319.754,-,-,-,-,
HF,in 600 H2O,,,,20.0064,-,-319.838,-,-,-,-,
HF,in 700 H2O,,,,20.0064,-,-319.921,-,-,-,-,
HF,in 800 H2O,,,,20.0064,-,-320.013,-,-,-,-,
HF,in 900 H2O,,,,20.0064,-,-320.122,-,-,-,-,
HF,in 1000 H2O,,,,20.0064,-,-320.206,-,-,-,-,
HF,in 2000 H2O,,,,20.0064,-,-321.33,-,-,-,-,
HF,in 3000 H2O,,,,20.0064,-,-321.96,-,-,-,-,
HF,in 4000 H2O,,,,20.0064,-,-322.38,-,-,-,-,
HF,in 5000 H2O,,,,20.0064,-,-322.75,-,-,-,-,
HF,in 7000 H2O,,,,20.0064,-,-323.21,-,-,-,-,
HF,in 10000 H2O,,,,20.0064,-,-323.72,-,-,-,-,
HF,in 20000 H2O,,,,20.0064,-,-325.10,-,-,-,-,
HF,in ∞ H2O,,,,20.0064,-,-332.63,-,-,-,-,
HF2<sup>-</sup>,,,,ao,39.0048,-,-649.94,-578.08,-,92.5,-,
XeF4,,,,cr,207.2936,-,-261.5,-,-,-,-,
Table 10:Cl,,,,,,,,,,,,
Chlorine (Prepared 1963),,,,,,,,,,,,
Cl,,,,g,35.4530,120.00,121.679,105.680,6.272,165.198,21.840,
Cl<sup>+</sup>,,,,g,35.4530,1371.18,1379.17,-,6.385,-,-,
Cl<sup>2+</sup>,,,,g,35.4530,3668.9,3682.8,-,6.197,-,-,
Cl<sup>3+</sup>,,,,g,35.4530,7491.0,7512.4,-,7.573,-,-,
Cl<sup>4+</sup>,,,,g,35.4530,12649.5,12675.8,-,6.226,-,-,
Cl<sup>5+</sup>,,,,g,35.4530,19192.,19225.,-,6.197,-,-,
Cl<sup>6+</sup>,,,,g,35.4530,28556.,28598.,-,6.197,-,-,
Cl<sup>7+</sup>,,,,g,35.4530,39572.,39618.,-,6.197,-,-,
Cl<sup>8+</sup>,,,,g,35.4530,73178.,73228.,-,6.197,-,-,
Cl<sup>-</sup>,,,,g,35.4530,-228.61,-233.13,-,-,-,-,
Cl<sup>-</sup>,,,,ao,35.4530,-,-167.159,-131.228,-,56.5,-136.4,
Cl2,,,,g,70.9060,0,0,0,9.176,223.066,33.907,
Cl2,,,,ao,70.9060,-,-23.4,6.94,-,121.,-,
Cl2,in CCl4:x,,,,70.9060,-,-18.58,4.59,-,145.2,-,
Cl2<sup>+</sup>,,,,g,70.9060,1107.9,1114.2,-,-,-,-,
Cl2<sup>2+</sup>,,,,g,70.9060,3146.,3159.,-,-,-,-,
Cl3<sup>-</sup>,,,,ao,106.3590,-,-,-120.4,-,-,-,
ClO,,,,g,51.4524,101.92,101.84,98.11,8.845,226.63,31.46,
ClO<sup>-</sup>,,,,ao,51.4524,-,-107.1,-36.8,-,42.,-,
ClO2,,,,g,67.4518,104.98,102.5,120.5,10.795,256.84,41.97,
ClOO,,chlorine peroxy,,g2,67.4518,90.8,89.1,105.0,11.63,263.7,46.0,
ClO2,,,,ao,67.4518,-,74.9,120.1,-,164.8,-,
ClO2<sup>-</sup>,,,,ao,67.4518,-,-66.5,17.2,-,101.3,-,
ClO3,,,,g,83.4512,-,155.,-,-,-,-,
ClO3<sup>-</sup>,,,,ao,83.4512,-,-103.97,-7.95,-,162.3,-,
ClO4<sup>-</sup>,,,,ao,99.4506,-,-129.33,-8.52,-,182.0,-,
Cl2O,,,,g,86.9054,82.47,80.3,97.9,11.376,266.21,45.40,
Cl2O,in CCl4:x,,,,86.9054,-,52.80,96.20,-,179.9,-,
Cl2O7,,,,l,182.9018,-,238.1,-,-,-,-,
Cl2O7,,,,g,182.9018,-,272.0,-,-,-,-,
HCl,,,,g,36.4610,-92.132,-92.307,-95.299,8.644,186.908,29.12,
HCl,,,,ai,36.4610,-,-167.159,-131.228,-,56.5,-136.4,
HCl,in 1.0 H2O,,,,36.4610,-,-121.55,-,-,-,-,
HCl,in 1.5 H2O,,,,36.4610,-,-132.67,-,-,-,-,
HCl,in 2.0 H2O,,,,36.4610,-,-140.96,-,-,-,-,
HCl,in 2.5 H2O,,,,36.4610,-,-145.48,-,-,-,-,
HCl,in 3.0 H2O,,,,36.4610,-,-148.49,-,-,-,-,
HCl,in 4.0 H2O,,,,36.4610,-,-152.917,-,-,-,-,
HCl,in 4.5 H2O,,,,36.4610,-,-154.503,-,-,-,-,
HCl,in 5.0 H2O,,,,36.4610,-,-155.774,-,-,-,-,
HCl,in 6.0 H2O,,,,36.4610,-,-157.682,-,-,-,-,
HCl,in 8.0 H2O,,,,36.4610,-,-160.005,-,-,-,-,
HCl,in 10 H2O,,,,36.4610,-,-161.318,-,-,-,-,
HCl,in 12 H2O,,,,36.4610,-,-162.180,-,-,-,-,
HCl,in 15 H2O,,,,36.4610,-,-163.025,-,-,-,-,
HCl,in 20 H2O,,,,36.4610,-,-163.845,-,-,-,-,
HCl,in 25 H2O,,,,36.4610,-,-164.339,-,-,-,-,
HCl,in 30 H2O,,,,36.4610,-,-164.670,-,-,-,-,
HCl,in 40 H2O,,,,36.4610,-,-165.096,-,-,-,-,
HCl,in 5O H2O,,,,36.4610,-,-165.356,-,-,-,-,
HCl,in 75 H2O,,,,36.4610,-,-165.724,-,-,-,-,
HCl,in 100 H2O,,,,36.4610,-,-165.925,-,-,-,-,
HCl,in 150 H2O,,,,36.4610,-,-166.147,-,-,-,-,
HCl,in 200 H2O,,,,36.4610,-,-166.272,-,-,-,-,
HCl,in 300 H2O,,,,36.4610,-,-166.423,-,-,-,-,
HCl,in 400 H2O,,,,36.4610,-,-166.506,-,-,-,-,
HCl,in 500 H2O,,,,36.4610,-,-166.573,-,-,-,-,
HCl,in 600 H2O,,,,36.4610,-,-166.619,-,-,-,-,
HCl,in 700 H2O,,,,36.4610,-,-166.657,-,-,-,-,
HCl,in 800 H2O,,,,36.4610,-,-166.686,-,-,-,-,
HCl,in 900 H2O,,,,36.4610,-,-166.711,-,-,-,-,
HCl,in 1000 H2O,,,,36.4610,-,-166.732,-,-,-,-,
HCl,in 1500 H2O,,,,36.4610,-,-166.804,-,-,-,-,
HCl,in 2000 H2O,,,,36.4610,-,-166.850,-,-,-,-,
HCl,in 3000 H2O,,,,36.4610,-,-166.908,-,-,-,-,
HCl,in 4000 H2O,,,,36.4610,-,-166.933,-,-,-,-,
HCl,in 5000 H2O,,,,36.4610,-,-166.963,-,-,-,-,
HCl,in 7000 H2O,,,,36.4610,-,-166.992,-,-,-,-,
HCl,in 10000 H2O,,,,36.4610,-,-167.017,-,-,-,-,
HCl,in 20000 H2O,,,,36.4610,-,-167.055,-,-,-,-,
HCl,in 50000 H2O,,,,36.4610,-,-167.092,-,-,-,-,
HCl,in 100000 H2O,,,,36.4610,-,-167.117,-,-,-,-,
HCl,in ∞ H2O,,,,36.4610,-,-167.159,-,-,-,-,
HCl,in CHCl3:x,,,,36.4610,-,-105.0,-85.7,-,112.1,-,
HCl,in CCl4:x,,,,36.4610,-,-103.3,-84.9,-,115.1,-,
HCl<sup>+</sup>,,,,g,36.4610,1137.2,1143.1,-,-,-,-,
HClO,,,,g,52.4604,-75.73,-78.7,-66.1,10.209,236.67,37.15,
HClO,,,,ao,52.4604,-,-120.9,-79.9,-,142.,-,
HClO,in 6.0 H2O,,,,52.4604,-,-118.91,-,-,-,-,
HClO,in 7.0 H2O,,,,52.4604,-,-119.16,-,-,-,-,
HClO,in 8.0 H2O,,,,52.4604,-,-119.41,-,-,-,-,
HClO,in 10 H2O,,,,52.4604,-,-119.75,-,-,-,-,
HClO,in 12 H2O,,,,52.4604,-,-119.91,-,-,-,-,
HClO,in 15 H2O,,,,52.4604,-,-120.16,-,-,-,-,
HClO,in 20 H2O,,,,52.4604,-,-120.37,-,-,-,-,
HClO,in 25 H2O,,,,52.4604,-,-120.5,-,-,-,-,
HClO,in 30 H2O,,,,52.4604,-,-120.58,-,-,-,-,
HClO,in 40 H2O,,,,52.4604,-,-120.71,-,-,-,-,
HClO,in 50 H2O,,,,52.4604,-,-120.79,-,-,-,-,
HClO,in 75 H2O,,,,52.4604,-,-120.88,-,-,-,-,
HClO,in 100 H2O,,,,52.4604,-,-120.92,-,-,-,-,
HClO,in 200 H2O,,,,52.4604,-,-121.00,-,-,-,-,
HClO,in 300 H2O,,,,52.4604,-,-121.00,-,-,-,-,
HClO,in 500 H2O,,,,52.4604,-,-121.00,-,-,-,-,
HClO,in 1000 H2O,,,,52.4604,-,-121.04,-,-,-,-,
HClO2,,,,ao,68.4598,-,-51.9,5.9,-,188.3,-,
HClO3,,,,ai,84.4592,-,-103.97,-7.95,-,162.3,-,
HClO4,,,,l,100.4586,-,-40.58,-,-,-,-,
HClO4,,,,ai,100.4586,-,-129.33,-8.52,-,182.0,-,
HClO4,in 2.0 H2O,,,,100.4586,-,-106.27,-,-,-,-,
HClO4,in 2.5 H2O,,,,100.4586,-,-112.55,-,-,-,-,
HClO4,in 3.0 H2O,,,,100.4586,-,-117.24,-,-,-,-,
